date,equity,cash,holding,shares,weekly_target
2025-05-27,28760.146591847282,4.246591847283,LREN3,1602,LREN3
2025-05-28,29112.586591847288,4.246591847283,LREN3,1602,LREN3
2025-05-29,28776.166591847286,4.246591847283,LREN3,1602,LREN3
2025-05-30,29096.566591847284,4.246591847283,LREN3,1602,LREN3
2025-06-02,29061.029651208781,5.179651208783,JHSF3,5431,JHSF3
2025-06-03,29115.339651208786,5.179651208783,JHSF3,5431,JHSF3
2025-06-04,28789.479651208781,5.179651208783,JHSF3,5431,JHSF3
2025-06-05,28735.169651208784,5.179651208783,JHSF3,5431,JHSF3
2025-06-06,28463.619651208784,5.179651208783,JHSF3,5431,JHSF3
2025-06-09,28772.375143299916,5.255143299914,LREN3,1608,LREN3
2025-06-10,29447.735143299913,5.255143299914,LREN3,1608,LREN3
2025-06-11,29705.015143299912,5.255143299914,LREN3,1608,LREN3
2025-06-12,29656.775143299914,5.255143299914,LREN3,1608,LREN3
2025-06-13,29528.135143299911,5.255143299914,LREN3,1608,LREN3
2025-06-16,30267.815143299915,5.255143299914,LREN3,1608,LREN3
2025-06-17,29994.455143299911,5.255143299914,LREN3,1608,LREN3
2025-06-18,30107.015143299912,5.255143299914,LREN3,1608,LREN3
2025-06-20,29849.735143299913,5.255143299914,LREN3,1608,LREN3
2025-06-23,30573.335143299915,5.255143299914,LREN3,1608,LREN3
2025-06-24,31023.575143299913,5.255143299914,LREN3,1608,LREN3
2025-06-25,30541.175143299912,5.255143299914,LREN3,1608,LREN3
2025-06-26,31409.495143299915,5.255143299914,LREN3,1608,LREN3
2025-06-27,31457.735143299913,5.255143299914,LREN3,1608,LREN3
2025-06-30,31931.510102118413,10.450102118410,HYPE3,1174,HYPE3
2025-07-01,32541.990102118412,10.450102118410,HYPE3,1174,HYPE3
2025-07-02,32236.750102118411,10.450102118410,HYPE3,1174,HYPE3
2025-07-03,32295.450102118411,10.450102118410,HYPE3,1174,HYPE3
2025-07-04,32530.250102118411,10.450102118410,HYPE3,1174,HYPE3
2025-07-07,31864.564727326037,1.684727326039,PRIO3,763,PRIO3
2025-07-08,32871.724727326044,1.684727326039,PRIO3,763,PRIO3
2025-07-09,32482.594727326039,1.684727326039,PRIO3,763,PRIO3
2025-07-10,31895.084727326037,1.684727326039,PRIO3,763,PRIO3
2025-07-11,32597.044727326040,1.684727326039,PRIO3,763,PRIO3
2025-07-14,32110.204513960423,2.284513960421,CMIG4,3012,CMIG4
2025-07-15,31989.724513960420,2.284513960421,CMIG4,3012,CMIG4
2025-07-16,31688.524513960419,2.284513960421,CMIG4,3012,CMIG4
2025-07-17,31507.804513960426,2.284513960421,CMIG4,3012,CMIG4
2025-07-18,31266.844513960423,2.284513960421,CMIG4,3012,CMIG4
2025-07-21,30525.746282303422,13.556282303423,WEGE3,727,WEGE3
2025-07-22,30053.196282303423,13.556282303423,WEGE3,727,WEGE3
2025-07-23,27646.826282303420,13.556282303423,WEGE3,727,WEGE3
2025-07-24,26352.766282303422,13.556282303423,WEGE3,727,WEGE3
2025-07-25,26309.146282303424,13.556282303423,WEGE3,727,WEGE3
2025-07-28,26079.768657447679,8.408657447678,FLRY3,1808,FLRY3
2025-07-29,26097.848657447677,8.408657447678,FLRY3,1808,FLRY3
2025-07-30,26296.728657447678,8.408657447678,FLRY3,1808,FLRY3
2025-07-31,25953.208657447678,8.408657447678,FLRY3,1808,FLRY3
2025-08-01,25754.328657447681,8.408657447678,FLRY3,1808,FLRY3
2025-08-04,25862.808657447680,8.408657447678,FLRY3,1808,FLRY3
2025-08-05,25754.328657447681,8.408657447678,FLRY3,1808,FLRY3
2025-08-06,26369.048657447678,8.408657447678,FLRY3,1808,FLRY3
2025-08-07,26314.808657447680,8.408657447678,FLRY3,1808,FLRY3
2025-08-08,25953.208657447678,8.408657447678,FLRY3,1808,FLRY3
